Name,University,Course,Year,Season,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,Undergrad_score_Metric,work_ex (Months)
753255,Arizona State University,Management Information System,2018,Fall,Applied,313,TOEFL,107,0.62,%,6
Ami0603,Arizona State University,Management Information System,2018,Fall,Applied,314,TOEFL,106,7.63,CGPA,6
saniya264,Arizona State University,Management Information System,2018,Fall,Applied,307,TOEFL,109,0.62,%,1
Abhiraj29,Arizona State University,Management Information System,2018,Fall,Applied,290,IELTS,7.5,7,CGPA,48
apekshak95,Arizona State University,Management Information System,2018,Fall,Applied,306,TOEFL,90,8.2,CGPA,24
aryan29041995,Arizona State University,Management Information System,2017,Fall,Applied,310,TOEFL,100,8.96,CGPA,2
Ishita1302,Arizona State University,Management Information System,2017,Fall,Applied,309,TOEFL,88,7.69,CGPA,16
Freya,Arizona State University,Management Information System,2017,Fall,Applied,310,TOEFL,103,7.5,CGPA,29
Vineetb71,Arizona State University,Management Information System,2017,Fall,Applied,301,IELTS,6.5,0.65,%,26
Ragini123,Arizona State University,Management Information System,2017,Fall,Applied,305,TOEFL,89,8.86,CGPA,17
hshaikh,Arizona State University,Management Information System,2017,Fall,Applied,312,TOEFL,115,0.73,%,33
shashi2233,Arizona State University,Management Information System,2017,Fall,Applied,322,TOEFL,110,7.6,CGPA,0
akruti,Arizona State University,Management Information System,2017,Fall,Applied,319,TOEFL,100,6.74,CGPA,28
taori,Arizona State University,Management Information System,2017,Spring,Applied,305,TOEFL,88,0.58,%,12
xbblc671,Arizona State University,Management Information System,2016,Fall,Applied,307,TOEFL,87,0.7,%,27
Ashwini,Arizona State University,Management Information System,2016,Fall,Applied,306,TOEFL,92,0.71,%,36
lampard,Arizona State University,Management Information System,2016,Fall,Applied,320,TOEFL,100,0.68,%,0
bostonner,Arizona State University,Management Information System,2018,Fall,Admit,315,TOEFL,104,0.77,%,3
KrithikaCT,Arizona State University,Management Information System,2018,Fall,Admit,301,TOEFL,0,0.8,%,60
Giridhar312,Arizona State University,Management Information System,2018,Fall,Admit,311,IELTS,7,7.74,CGPA,25
Shreepriya,Arizona State University,Management Information System,2018,Fall,Admit,312,TOEFL,110,8.6,CGPA,24
muktika,Arizona State University,Management Information System,2018,Fall,Admit,307,TOEFL,103,8,CGPA,34
ssg-96,Arizona State University,Management Information System,2018,Fall,Admit,321,TOEFL,102,7.5,CGPA,12
sankalp2610,Arizona State University,Management Information System,2018,Fall,Admit,306,TOEFL,99,0.74,%,0
